Set,ID,Number,Name,Rarity,Owned,Link,,,,
CB01,CB01-001,001,The FriendlyGiantBird Lidorias,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10001.jpg,,,,
CB01,CB01-002,002,The SpaceDinosaur Hyper Zetton (Cocoon),Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10002.jpg,,,,
CB01,CB01-003,003,The KingDemonBeast of Wind Maga-Basser,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10003.jpg,,,,
CB01,CB01-004,004,The SpaceKaiju Bemular,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10004.jpg,,,,
CB01,CB01-005,005,The AncientKaiju Gomora,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10005.jpg,,,,
CB01,CB01-006,006,The KingDemonBeast of Fire Magapandon,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10006.jpg,,,,
CB01,CB01-007,007,The SpaceDinosaur Hyper-Zetton (Gigant),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10007.jpg,,,,
CB01,CB01-008,008,The PerfectLifeForm IF (Fourth Form),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10008.jpg,,,,
CB01,CB01-009,009,The KingDemonBeast of Earth Maga-Grand-King,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10009.jpg,,,,
CB01,CB01-010,010,The OrganicSaucer Nova,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10010.jpg,,,,
CB01,CB01-011,011,The SkullKaiju Red King (The Second),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10011.jpg,,,,
CB01,CB01-012,012,The GreatKingDemonBeast Maga-Orochi,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10012.jpg,,,,
CB01,CB01-013,013,The KingDemonBeast of Light Maga-Zetton,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10013.jpg,,,,
CB01,CB01-014,014,The PhantomDemon Jugglus Juggler (Majin Form),Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10014.jpg,,,,
CB01,CB01-015,015,The CombinationKingDemonBeast Zeppandon,Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10015.jpg,,,,
CB01,CB01-016,016,The CloneAlien Guts Seijin Doppel,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10016.jpg,,,,
CB01,CB01-017,017,The KidnappingPhantom Kemur Man,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb01/10017.jpg,,,,
