Set,ID,Number,Name,Rarity,Owned,Link
CB22,CB22-001,001,The MetronSeijin Marluru,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10001.jpg
CB22,CB22-002,002,Ultraman Trigger Multi Type［2］,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10002.jpg
CB22,CB22-002,073,Ultraman Trigger Multi Type［2］ (w/ Parallel Art),Master Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10073.jpg
CB22,CB22-003,003,Re-Special Aircraft No.1 Space Sevenger,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10003.jpg
CB22,CB22-004,004,Ultraman Zett Original［2］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10004.jpg
CB22,CB22-005,005,Ultraman Ribut,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10005.jpg
CB22,CB22-006,006,Ultraman Trigger Sky Type,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10006.jpg
CB22,CB22-007,007,Ultraman Trigger Power Type,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10007.jpg
CB22,CB22-008,008,Trigger Dark,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10008.jpg
CB22,CB22-009,009,Glitter Trigger Eternity,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10009.jpg
CB22,CB22-010,010,New Generation Ultraman Orb Orb Trinity,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10010.jpg
CB22,CB22-011,011,The SuperAncientDarkKaiju Golba,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10011.jpg
CB22,CB22-012,012,The AgileTactician Hudram,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10012.jpg
CB22,CB22-013,013,Ultraman Zett (Red Damage),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10013.jpg
CB22,CB22-014,014,The PirateAlien Barossa Seijin (The Fourth),Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10014.jpg
CB22,CB22-015,015,The InfernalWarrior Kyrieloid［2］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10015.jpg
CB22,CB22-016,016,The HerculeanFighter Darrgon,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10016.jpg
CB22,CB22-017,017,The CaptivatingWarrior Carmeara,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10017.jpg
CB22,CB22-018,018,Special Aircraft No. 3 King Joe STORAGE Custom (Dada-Possessed),Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10018.jpg
CB22,CB22-019,019,Evil Trigger,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10019.jpg
CB22,CB22-020,020,The EvilGod Megalothor (First Form),Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10020.jpg
CB22,CB22-021,021,The UndergroundKaiju Telesdon［First Generation Ultra Kaiju］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10021.jpg
CB22,CB22-022,022,The SpaceKaiju Bemular［First Generation Ultra Kaiju］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10022.jpg
CB22,CB22-023,023,The CometKaiju Jamila［First Generation Ultra Kaiju］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10023.jpg
CB22,CB22-024,024,The RuffedDinosaur Jirahs［First Generation Ultra Kaiju］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10024.jpg
CB22,CB22-025,025,The ThreeFacePhantom Dada［First Generation Ultra Kaiju］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10025.jpg
CB22,CB22-026,026,The TransformationKaiju Zaragas［First Generation Ultra Kaiju］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10026.jpg
CB22,CB22-027,027,The MagneticKaiju Antlar［First Generation Ultra Kaiju］,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10027.jpg
CB22,CB22-028,028,The TransparencyKaiju Neronga［First Generation Ultra Kaiju］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10028.jpg
CB22,CB22-029,029,The SkullKaiju Red King (The Second)［First Generation Ultra Kaiju］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10029.jpg
CB22,CB22-030,030,The AncientKaiju Gomora［First Generation Ultra Kaiju］ ,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10030.jpg
CB22,CB22-030,074,The AncientKaiju Gomora［First Generation Ultra Kaiju］ (w/ Parallel Art),Master Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10074.jpg
CB22,CB22-031,031,The KaijuChief Geronimon［First Generation Ultra Kaiju］,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10031.jpg
CB22,CB22-032,032,The SpaceNinja Baltan Seijin［First Generation Ultra Kaiju］ ,Master Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10032.jpg
CB22,CB22-032,075,The SpaceNinja Baltan Seijin［First Generation Ultra Kaiju］ (w/ Parallel Art),Master Rare (Secret),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10075.jpg
CB22,CB22-033,033,Ultra Brothers Ultraman 80,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10033.jpg
CB22,CB22-034,034,Ultra Brothers Ultraman Taro,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10034.jpg
CB22,CB22-035,035,Ultra Brothers Ultraman Hikari,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10035.jpg
CB22,CB22-036,036,Ultraman Zett Alpha Edge ［2］,Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10036.jpg
CB22,CB22-037,037,Ultra Brothers Ultraman Ace,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10037.jpg
CB22,CB22-038,038,Ultra Brothers Astra,Common,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb22/10038.jpg
