Set,ID,Number,Rarity,Name,Owned,Link,
CB32,CB32-001,001,Common,The EmpireMachineSoldier Legionoid,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10001.jpg,
CB32,CB32-002,002,Common,The RegenerationKaiju Star Bem Gyeron,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10002.jpg,
CB32,CB32-003,003,Common,The RobotKaiju Mecha Gomora,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10003.jpg,
CB32,CB32-004,004,Common,The BelialFusionMonster Skull Gomora ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10004.jpg,
CB32,CB32-005,005,Master Rare,Ultraman Arc Solis Armor,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10005.jpg,
CB32,CB32-006,006,Common,The BelialFusionMonster Thunder Killer,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10006.jpg,
CB32,CB32-007,007,Rare,Ultraman Arc Luna Armor,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10007.jpg,
CB32,CB32-008,008,Rare,Ultraman Arc Satur Armor,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10008.jpg,
CB32,CB32-009,009,Rare,Ultraman Arc -Arc Eye Sword Equipped-,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10009.jpg,
CB32,CB32-010,010,Common,The BelialGalacticEmpire Darklops Zero,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10010.jpg,
CB32,CB32-010,076,Master Rare (Secret),The BelialGalacticEmpire Darklops Zero (Alternate Art),TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10076.jpg,
CB32,CB32-011,011,Rare,The DespotKaiju Tyrant ［3］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10011.jpg,
CB32,CB32-012,012,Rare,The SpaceDinosaur Zetton［First Generation Ultra Kaiju］ ［2］,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10012.jpg,
CB32,CB32-013,013,Master Rare,The BelialFusionMonster Chimeraberus,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10013.jpg,
CB32,CB32-014,014,Master Rare,The SpacetimeDestroyingLord Zegun,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10014.jpg,
CB32,CB32-015,015,Rare,The PegassaSeijin Pega,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10015.jpg,
CB32,CB32-016,016,Common,"Ultra Hero, Ultraman Zero",TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10016.jpg,
CB32,CB32-017,017,Common,Ultraman Geed Solid Burning,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/cb32/10017.jpg,
