Set,ID,Number,Name,Rarity,Owned,Link,,,,
PB08,PB08-001,001,The UndergroundKaiju Telesdon,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10001.jpg,,,,
PB08,PB08-002,002,The SpaceKaiju Eleking［2］,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10002.jpg,,,,
PB08,PB08-003,003,The SkullKaiju Red King［2］,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10003.jpg,,,,
PB08,PB08-004,004,The SuperAncientKaiju Fire Golza,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10004.jpg,,,,
PB08,PB08-005,005,The BelialFusionMonster Skull Gomora,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10005.jpg,,,,
PB08,PB08-006,006,The SpaceDinosaur Zetton［2］,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10006.jpg,,,,
PB08,PB08-007,007,The DespotKaiju Tyrant［2］,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10007.jpg,,,,
PB08,PB08-008,008,The CloneAlien Guts Seijin［2］,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10008.jpg,,,,
PB08,PB08-009,009,The UltraLifeForm Rayblood Seijin,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10009.jpg,,,,
PB08,PB08-010,010,The SpaceNinja Baltan Seijin［2］,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10010.jpg,,,,
PB08,PB08-011,011,The EvilAlien Zarab Seijin,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10011.jpg,,,,
PB08,PB08-012,012,The DarkSeijin Shapley Seijin,N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10012.jpg,,,,
PB08,PB08-013,013,Giga Battle Nizer,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10013.jpg,,,,
PB08,PB08-CP01,014,Ultraman Geed Primitive,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10014.jpg,,,,
PB08,PB08-CP02,015,EX Gomora,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10015.jpg,,,,
PB08,PB08-CP03,016,Ultraman Zero Beyond,N/A,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10016.jpg,,,,Slicing
PB08,PB08-CP03,N/A,Ultraman Zero Beyond (New Art),N/A,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10N/A.jpg,,,,"Not Slicing, PB32 card"
PB08,PB08-X01,017,The BelialFusionMonster Pedanium Zetton,X-Rare,FALSE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10017.jpg,,,,
PB08,PB08-X02,018,Personification of Evil Ultraman Belial,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb08/10018.jpg,,,,
